Performance,Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_ X_Percentage,Class_XII_Percentage,Father_occupation,Mother_occupation
excellent,male,general,no,one,seba,ahsec,english,excellent,excellent,doctor,others
excellent,male,obc,wa,two,seba,ahsec,others,excellent,excellent,school_teacher,house_wife
excellent,male,obc,no,two,others,cbse,english,good,excellent,business,house_wife
excellent,male,general,wa,one,seba,ahsec,others,excellent,excellent,school_teacher,school_teacher
excellent,male,general,oa,two,none,cbse,english,excellent,excellent,college_teacher,house_wife
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,college_teacher,house_wife
excellent,female,general,oa,1-2 hours,cbse,cbse,english,good,excellent,doctor,doctor
excellent,male,obc,no,one,seba,ahsec,english,excellent,excellent,others,house_wife
excellent,female,general,no,one,seba,ahsec,english,excellent,excellent,business,house_wife
excellent,female,general,oa,two,cbse,cbse,english,excellent,excellent,college_teacher,house_wife
excellent,male,general,no,one,cbse,cbse,english,average,excellent,business,house_wife
excellent,male,general,no,one,cbse,cbse,english,excellent,excellent,doctor,doctor
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,bank_official,school_teacher
excellent,male,general,no,two,seba,ahsec,english,excellent,excellent,business,house_wife
excellent,male,general,wa,one,seba,cbse,english,excellent,excellent,others,house_wife
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
excellent,male,general,no,one,cbse,cbse,english,excellent,excellent,others,college_teacher
excellent,female,general,oa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife
excellent,male,general,wa,1-2 hours,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher
excellent,male,general,oa,one,seba,cbse,english,excellent,excellent,business,school_teacher
excellent,female,obc,no,one,seba,ahsec,assamese,excellent,excellent,college_teacher,college_teacher
excellent,male,general,no,one,seba,ahsec,others,vg,vg,bank_official,school_teacher
excellent,male,general,wa,one,seba,ahsec,english,excellent,excellent,college_teacher,school_teacher
excellent,male,general,no,one,others,cbse,english,excellent,excellent,engineer,house_wife
excellent,male,general,oa,less than 1 hour,cbse,cbse,english,excellent,excellent,business,house_wife
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,others
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,college_teacher,college_teacher
excellent,male,general,oa,two,others,others,english,excellent,vg,doctor,others
excellent,female,general,wa,two,seba,ahsec,english,excellent,vg,others,college_teacher
excellent,female,general,no,two,seba,ahsec,none,good,vg,school_teacher,house_wife
excellent,female,general,no,one,cbse,cbse,english,average,excellent,college_teacher,school_teacher
excellent,male,general,no,two,seba,ahsec,english,average,excellent,engineer,house_wife
excellent,female,general,no,two,seba,ahsec,english,excellent,excellent,others,house_wife
excellent,male,general,wa,two,seba,ahsec,assamese,excellent,excellent,others,house_wife
excellent,male,obc,no,one,cbse,cbse,english,excellent,excellent,business,others
excellent,female,general,oa,two,cbse,ahsec,english,excellent,excellent,business,house_wife
excellent,male,general,oa,two,cbse,cbse,english,excellent,excellent,doctor,college_teacher
excellent,male,general,wa,two,seba,ahsec,english,excellent,excellent,business,house_wife
excellent,male,general,no,two,cbse,cbse,english,excellent,excellent,others,house_wife
excellent,male,general,wa,less than 1 hour,cbse,cbse,english,good,vg,engineer,house_wife
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,doctor,college_teacher
excellent,male,general,wa,less than 1 hour,seba,ahsec,others,good,good,school_teacher,school_teacher
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,bank_official,house_wife
none,female,general,oa,one,others,cbse,english,excellent,excellent,business,house_wife
excellent,male,sc,no,two,cbse,cbse,english,good,excellent,others,house_wife
excellent,male,sc,wa,two,seba,ahsec,others,excellent,vg,others,house_wife
excellent,female,general,no,two,cbse,none,english,excellent,excellent,college_teacher,school_teacher
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,school_teacher
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,others
excellent,male,general,wa,less than 1 hour,cbse,cbse,english,good,excellent,doctor,doctor
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife
none,male,obc,wa,1-2 hours,seba,cbse,english,excellent,excellent,engineer,house_wife
excellent,female,general,wa,three,seba,ahsec,others,vg,vg,others,house_wife
excellent,female,general,wa,two,others,cbse,english,excellent,excellent,engineer,house_wife
excellent,male,sc,no,two,seba,ahsec,english,good,good,business,house_wife
excellent,male,general,no,three,seba,ahsec,assamese,good,good,college_teacher,house_wife
excellent,male,general,no,less than 1 hour,cbse,cbse,english,excellent,good,bank_official,house_wife
excellent,male,general,oa,two,seba,ahsec,english,excellent,vg,school_teacher,house_wife
excellent,female,general,wa,two,seba,ahsec,assamese,excellent,excellent,business,house_wife
excellent,male,general,wa,two,seba,ahsec,others,excellent,excellent,others,house_wife
excellent,male,general,no,two,cbse,cbse,english,average,excellent,doctor,school_teacher
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife
excellent,male,general,wa,two,none,ahsec,english,excellent,excellent,engineer,college_teacher
excellent,female,general,no,two,cbse,cbse,english,average,excellent,others,others
