Performance,Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_ X_Percentage,Class_XII_Percentage,Father_occupation,Mother_occupation,mixed_type_col
excellent,male,general,no,one,seba,ahsec,english,excellent,excellent,doctor,others,unknown
excellent,male,obc,wa,two,seba,ahsec,others,excellent,excellent,school_teacher,house_wife,666
excellent,male,obc,oa,two,others,cbse,english,excellent,excellent,business,house_wife,unknown
excellent,male,general,wa,one,seba,ahsec,others,excellent,excellent,school_teacher,school_teacher,275
excellent,male,general,oa,two,none,cbse,english,excellent,excellent,college_teacher,house_wife,6
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,college_teacher,house_wife,73
excellent,female,general,oa,one,cbse,cbse,english,excellent,excellent,doctor,doctor,344
excellent,male,obc,no,one,seba,ahsec,english,excellent,excellent,others,house_wife,681
excellent,female,general,no,one,seba,ahsec,english,excellent,excellent,business,house_wife,440
excellent,female,general,oa,two,cbse,cbse,english,excellent,excellent,college_teacher,house_wife,618
excellent,male,general,oa,one,cbse,cbse,english,excellent,excellent,business,house_wife,bad
excellent,male,general,no,one,cbse,cbse,english,excellent,excellent,doctor,doctor,none
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,bank_official,school_teacher,748
excellent,male,general,no,two,seba,ahsec,english,excellent,excellent,business,house_wife,723
excellent,male,general,wa,one,seba,cbse,english,excellent,excellent,others,house_wife,none
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife,825
excellent,male,general,no,one,cbse,cbse,english,excellent,excellent,others,college_teacher,unknown
excellent,female,general,oa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife,704
excellent,male,general,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher,350
excellent,male,general,oa,one,seba,cbse,english,excellent,excellent,business,school_teacher,872
excellent,female,obc,no,one,seba,ahsec,assamese,excellent,excellent,college_teacher,college_teacher,bad
excellent,male,general,no,one,seba,ahsec,others,vg,vg,bank_official,school_teacher,bad
excellent,male,general,wa,one,seba,ahsec,english,excellent,excellent,college_teacher,school_teacher,281
excellent,male,general,no,one,others,cbse,english,excellent,excellent,engineer,house_wife,none
excellent,male,general,oa,two,cbse,cbse,english,excellent,excellent,business,house_wife,none
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,others,531
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,college_teacher,college_teacher,bad
excellent,male,general,oa,two,others,others,english,excellent,vg,doctor,others,627
excellent,female,general,wa,two,seba,ahsec,english,excellent,vg,others,college_teacher,809
excellent,female,general,no,two,seba,ahsec,none,good,vg,school_teacher,house_wife,469
excellent,female,general,no,one,cbse,cbse,english,excellent,excellent,college_teacher,school_teacher,bad
excellent,male,general,wa,two,seba,ahsec,english,excellent,excellent,engineer,house_wife,bad
excellent,female,general,no,two,seba,ahsec,english,excellent,excellent,others,house_wife,217
excellent,male,general,wa,two,seba,ahsec,assamese,excellent,excellent,others,house_wife,862
excellent,male,obc,no,one,cbse,cbse,english,excellent,excellent,business,others,17
excellent,female,general,oa,two,cbse,ahsec,english,excellent,excellent,business,house_wife,bad
excellent,male,general,oa,two,cbse,cbse,english,excellent,excellent,doctor,college_teacher,unknown
